Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T004_009,SE_T004_010,SE_T004_011,SE_T004_012,SE_T004_013,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T020_005,SE_T020_006,SE_T020_007
"36001","Albany County","Albany County, New York","00","36","001",305506,147818,157688,305506,15204,15584,15149,22085,31793,40856,35498,35704,40361,30718,14954,7600,305506,231538,43096,930,20885,202,8855
"36003","Allegany County","Allegany County, New York","00","36","003",46091,23418,22673,46091,2424,2505,2636,4330,4066,4695,4718,5104,6558,5331,2655,1069,46091,44048,664,147,577,19,636
"36005","Bronx County","Bronx County, New York","00","36","005",1418207,669548,748659,1418207,100199,99727,92655,93757,100026,227383,179394,173765,162535,104703,57576,26487,1418207,634280,618556,41319,64686,5975,53391
"36007","Broome County","Broome County, New York","00","36","007",190488,93845,96643,190488,9886,10225,10257,14520,18920,21657,19766,21000,27277,19847,11270,5863,190488,163473,12116,519,8424,129,5827
"36009","Cattaraugus County","Cattaraugus County, New York","00","36","009",76117,37853,38264,76117,4160,4618,4871,5131,4718,8336,8342,9341,11578,8858,4339,1825,76117,69919,1123,2742,645,30,1658
"36011","Cayuga County","Cayuga County, New York","00","36","011",76576,39286,37290,76576,3830,4038,4336,4391,4499,9525,8934,9879,11955,8832,4338,2019,76576,70523,3400,371,522,56,1704
"36013","Chautauqua County","Chautauqua County, New York","00","36","013",126903,62574,64329,126903,6896,6960,7210,8700,8081,14840,13465,15273,19193,14759,7803,3723,126903,118719,3545,925,873,65,2776
"36015","Chemung County","Chemung County, New York","00","36","015",83456,41328,42128,83456,4618,4931,5059,5030,4809,10396,9868,10252,12209,9267,4763,2254,83456,73687,5399,311,1247,31,2781
"36017","Chenango County","Chenango County, New York","00","36","017",47207,23657,23550,47207,2521,2682,2772,2705,2498,5362,5178,6038,7601,5697,3042,1111,47207,45526,484,197,279,8,713
"36019","Clinton County","Clinton County, New York","00","36","019",80485,41357,39128,80485,3890,4055,4045,5425,7281,10141,9591,10091,11745,8288,4207,1726,80485,74189,3557,334,1156,35,1214
"36021","Columbia County","Columbia County, New York","00","36","021",59461,29736,29725,59461,2496,2648,2881,3131,2875,6549,6335,8026,10020,8297,4335,1868,59461,53519,3161,198,1206,35,1342
"36023","Cortland County","Cortland County, New York","00","36","023",47581,23288,24293,47581,2464,2354,2659,4470,5721,5377,4908,5369,6224,4609,2416,1010,47581,44958,993,173,504,18,935
"36025","Delaware County","Delaware County, New York","00","36","025",44135,22347,21788,44135,1750,1905,2173,3013,2550,4525,4286,5355,7462,6296,3466,1354,44135,41905,959,166,473,26,606
"36027","Dutchess County","Dutchess County, New York","00","36","027",294218,146237,147981,294218,13561,14639,15723,20863,21166,35352,34217,40402,44896,30105,15942,7352,294218,238334,35456,1436,10923,258,7811
"36029","Erie County","Erie County, New York","00","36","029",918702,444635,474067,918702,50101,51190,51044,57118,59338,131749,104858,112362,132007,95218,49762,23955,918702,728560,128328,6835,35229,455,19295
"36031","Essex County","Essex County, New York","00","36","031",36885,19063,17822,36885,1479,1562,1691,1841,1796,4366,4129,4844,6228,5138,2699,1112,36885,34849,1021,193,289,23,510
"36033","Franklin County","Franklin County, New York","00","36","033",50022,27540,22482,50022,2348,2714,2885,2970,3401,7143,6275,6485,7076,5147,2552,1026,50022,42053,3215,3796,241,13,704
"36035","Fulton County","Fulton County, New York","00","36","035",53383,26523,26860,53383,2685,2987,3164,2969,2842,6386,6278,7193,8127,6222,3140,1390,53383,50769,1198,165,382,22,847
"36037","Genesee County","Genesee County, New York","00","36","037",57280,28538,28742,57280,2936,3205,3418,3376,3287,7161,6417,7520,8910,6158,3325,1567,57280,53204,1825,695,381,10,1165
"36039","Greene County","Greene County, New York","00","36","039",47188,24580,22608,47188,1955,2108,2148,2585,2965,5641,5135,6250,7676,6237,3232,1256,47188,42377,2890,226,622,21,1052
"36041","Hamilton County","Hamilton County, New York","00","36","041",4416,2208,2208,4416,147,141,179,195,184,346,375,536,906,900,357,150,4416,4248,47,15,34,4,68
"36043","Herkimer County","Herkimer County, New York","00","36","043",61319,30392,30927,61319,3060,3440,3709,3925,3345,7109,6593,7652,9469,7455,3882,1680,61319,58879,931,206,359,18,926
"36045","Jefferson County","Jefferson County, New York","00","36","045",109834,57648,52186,109834,8586,7419,6662,6180,10732,18337,13003,11148,12156,9116,4585,1910,109834,96096,7465,755,1891,352,3275
